C_in,C_pos,kernel_in,kernel_pos,n,accuracy_in,accuracy_pos
2.0,0.1,sigmoid,sigmoid,17,0.7659574468085106,0.04964539007092199
2.0,0.1,sigmoid,poly,7,0.851063829787234,0.14285714285714285
2.0,0.1,sigmoid,poly,12,0.723404255319149,0.05194805194805195
2.0,0.1,sigmoid,poly,17,0.6382978723404256,0.047244094488188976
2.0,0.1,poly,linear,7,0.8617021276595744,0.575
2.0,0.1,poly,linear,12,0.7056737588652482,0.36363636363636365
2.0,0.1,poly,linear,17,0.6382978723404256,0.4027777777777778
2.0,0.1,poly,rbf,7,0.8581560283687943,0.21428571428571427
2.0,0.1,poly,rbf,12,0.7695035460992907,0.07692307692307693
2.0,0.1,poly,rbf,17,0.7588652482269503,0.06338028169014084
2.0,0.1,poly,sigmoid,7,0.8156028368794326,0.1568627450980392
2.0,0.1,poly,sigmoid,12,0.7446808510638298,0.0875
2.0,0.1,poly,sigmoid,17,0.7092198581560284,0.05223880597014925
2.0,0.1,poly,poly,7,0.8368794326241135,0.06976744186046512
2.0,0.1,poly,poly,12,0.7659574468085106,0.09859154929577464
2.0,0.1,poly,poly,17,0.7198581560283688,0.06666666666666667
2.0,1.0,linear,linear,7,0.8581560283687943,0.4411764705882353
2.0,1.0,linear,linear,12,0.7304964539007093,0.4148936170212766
2.0,1.0,linear,linear,17,0.7127659574468085,0.359375
2.0,1.0,linear,rbf,7,0.8297872340425532,0.5
2.0,1.0,linear,rbf,12,0.7269503546099291,0.410958904109589
2.0,1.0,linear,rbf,17,0.7198581560283688,0.24647887323943662
2.0,1.0,linear,sigmoid,7,0.8439716312056738,0.5306122448979592
2.0,1.0,linear,sigmoid,12,0.7163120567375887,0.34408602150537637
2.0,1.0,linear,sigmoid,17,0.6985815602836879,0.4338235294117647
2.0,1.0,linear,poly,7,0.8333333333333334,0.4186046511627907
2.0,1.0,linear,poly,12,0.7198581560283688,0.19047619047619047
2.0,1.0,linear,poly,17,0.6737588652482269,0.1484375
2.0,1.0,rbf,linear,7,0.8368794326241135,0.4523809523809524
2.0,1.0,rbf,linear,12,0.7056737588652482,0.391304347826087
2.0,1.0,rbf,linear,17,0.7269503546099291,0.28888888888888886
2.0,1.0,rbf,rbf,7,0.8865248226950354,0.4
2.0,1.0,rbf,rbf,12,0.7092198581560284,0.36585365853658536
2.0,1.0,rbf,rbf,17,0.7588652482269503,0.3779527559055118
2.0,1.0,rbf,sigmoid,7,0.8226950354609929,0.45098039215686275
2.0,1.0,rbf,sigmoid,12,0.723404255319149,0.34065934065934067
2.0,1.0,rbf,sigmoid,17,0.74822695035461,0.3442622950819672
2.0,1.0,rbf,poly,7,0.851063829787234,0.36363636363636365
2.0,1.0,rbf,poly,12,0.7659574468085106,0.25301204819277107
2.0,1.0,rbf,poly,17,0.75177304964539,0.2127659574468085
2.0,1.0,sigmoid,linear,7,0.9078014184397163,0.5555555555555556
2.0,1.0,sigmoid,linear,12,0.7588652482269503,0.4444444444444444
2.0,1.0,sigmoid,linear,17,0.6524822695035462,0.38636363636363635
2.0,1.0,sigmoid,rbf,7,0.8404255319148937,0.6
2.0,1.0,sigmoid,rbf,12,0.723404255319149,0.358695652173913
2.0,1.0,sigmoid,rbf,17,0.6985815602836879,0.3333333333333333
2.0,1.0,sigmoid,sigmoid,7,0.8333333333333334,0.52
2.0,1.0,sigmoid,sigmoid,12,0.7588652482269503,0.45454545454545453
2.0,1.0,sigmoid,sigmoid,17,0.7340425531914894,0.373015873015873
2.0,1.0,sigmoid,poly,7,0.8333333333333334,0.32
2.0,1.0,sigmoid,poly,12,0.6879432624113475,0.23255813953488372
2.0,1.0,sigmoid,poly,17,0.6808510638297872,0.21768707482993196
2.0,1.0,poly,linear,7,0.8794326241134752,0.4857142857142857
2.0,1.0,poly,linear,12,0.6737588652482269,0.32978723404255317
2.0,1.0,poly,linear,17,0.7092198581560284,0.2719298245614035
2.0,1.0,poly,rbf,7,0.8191489361702128,0.4807692307692308
2.0,1.0,poly,rbf,12,0.7375886524822695,0.4470588235294118
2.0,1.0,poly,rbf,17,0.7163120567375887,0.42748091603053434
2.0,1.0,poly,sigmoid,7,0.8723404255319149,0.358974358974359
2.0,1.0,poly,sigmoid,12,0.7198581560283688,0.39473684210526316
2.0,1.0,poly,sigmoid,17,0.723404255319149,0.39552238805970147
2.0,1.0,poly,poly,7,0.8652482269503546,0.2564102564102564
2.0,1.0,poly,poly,12,0.7872340425531915,0.2786885245901639
2.0,1.0,poly,poly,17,0.7092198581560284,0.2900763358778626
2.0,2.0,linear,linear,7,0.8191489361702128,0.5777777777777777
2.0,2.0,linear,linear,12,0.7695035460992907,0.35064935064935066
2.0,2.0,linear,linear,17,0.6418439716312057,0.38235294117647056
2.0,2.0,linear,rbf,7,0.8404255319148937,0.4146341463414634
2.0,2.0,linear,rbf,12,0.7092198581560284,0.4342105263157895
2.0,2.0,linear,rbf,17,0.6808510638297872,0.3712121212121212
2.0,2.0,linear,sigmoid,7,0.875886524822695,0.5
2.0,2.0,linear,sigmoid,12,0.723404255319149,0.28888888888888886
