,C,Kernel,p,q,Accuracy,False negative rate,False positive rate
253,2.0,sigmoid,9,4,0.8368794326241135,0.1534090909090909,0.2947443181818182
254,2.0,sigmoid,9,6,0.8226950354609929,0.13991477272727273,0.30326704545454547
255,2.0,sigmoid,9,8,0.8262411347517731,0.17045454545454544,0.24644886363636365
256,2.0,sigmoid,11,2,0.8794326241134752,0.14417613636363635,0.3600852272727273
257,2.0,sigmoid,11,4,0.8971631205673759,0.1512784090909091,0.3146306818181818
258,2.0,sigmoid,11,6,0.8297872340425532,0.14133522727272727,0.3487215909090909
259,2.0,sigmoid,11,8,0.8581560283687943,0.13423295454545456,0.3132102272727273
260,2.0,sigmoid,13,2,0.8829787234042553,0.13636363636363635,0.38920454545454547
261,2.0,sigmoid,13,4,0.8404255319148937,0.13707386363636365,0.3522727272727273
262,2.0,sigmoid,13,6,0.8404255319148937,0.14417613636363635,0.3025568181818182
263,2.0,sigmoid,13,8,0.8617021276595744,0.13920454545454544,0.3259943181818182
264,2.0,poly,3,2,0.7943262411347518,0.13920454545454544,0.22443181818181818
265,2.0,poly,3,4,0.7872340425531915,0.12357954545454546,0.234375
266,2.0,poly,3,6,0.8368794326241135,0.12855113636363635,0.203125
267,2.0,poly,3,8,0.8439716312056738,0.12926136363636365,0.2059659090909091
268,2.0,poly,5,2,0.8085106382978723,0.14772727272727273,0.19602272727272727
269,2.0,poly,5,4,0.8085106382978723,0.11860795454545454,0.20454545454545456
270,2.0,poly,5,6,0.7801418439716312,0.1356534090909091,0.21661931818181818
271,2.0,poly,5,8,0.8546099290780141,0.11505681818181818,0.25142045454545453
272,2.0,poly,7,2,0.8049645390070922,0.15482954545454544,0.17542613636363635
273,2.0,poly,7,4,0.8297872340425532,0.11505681818181818,0.22798295454545456
274,2.0,poly,7,6,0.8085106382978723,0.1512784090909091,0.171875
275,2.0,poly,7,8,0.8794326241134752,0.11789772727272728,0.19105113636363635
276,2.0,poly,9,2,0.8262411347517731,0.12926136363636365,0.2059659090909091
277,2.0,poly,9,4,0.8404255319148937,0.09517045454545454,0.2627840909090909
278,2.0,poly,9,6,0.8723404255319149,0.11505681818181818,0.22869318181818182
279,2.0,poly,9,8,0.8404255319148937,0.12713068181818182,0.20738636363636365
280,2.0,poly,11,2,0.8404255319148937,0.11221590909090909,0.24289772727272727
281,2.0,poly,11,4,0.8581560283687943,0.12002840909090909,0.23579545454545456
282,2.0,poly,11,6,0.8546099290780141,0.12855113636363635,0.20738636363636365
283,2.0,poly,11,8,0.8794326241134752,0.09375,0.2663352272727273
284,2.0,poly,13,2,0.8652482269503546,0.11789772727272728,0.2606534090909091
285,2.0,poly,13,4,0.8652482269503546,0.11008522727272728,0.2528409090909091
286,2.0,poly,13,6,0.8439716312056738,0.13920454545454544,0.20525568181818182
287,2.0,poly,13,8,0.8439716312056738,0.09517045454545454,0.26136363636363635
288,5.0,linear,3,2,0.8014184397163121,0.1278409090909091,0.2975852272727273
289,5.0,linear,3,4,0.8297872340425532,0.15767045454545456,0.2634943181818182
290,5.0,linear,3,6,0.8333333333333334,0.14914772727272727,0.24857954545454544
291,5.0,linear,3,8,0.7836879432624113,0.15411931818181818,0.3039772727272727
292,5.0,linear,5,2,0.7943262411347518,0.17755681818181818,0.22301136363636365
293,5.0,linear,5,4,0.8049645390070922,0.16832386363636365,0.26988636363636365
294,5.0,linear,5,6,0.7730496453900709,0.1534090909090909,0.2727272727272727
295,5.0,linear,5,8,0.7588652482269503,0.15269886363636365,0.29829545454545453
296,5.0,linear,7,2,0.8014184397163121,0.13352272727272727,0.2940340909090909
297,5.0,linear,7,4,0.8262411347517731,0.14701704545454544,0.28764204545454547
298,5.0,linear,7,6,0.8120567375886525,0.15198863636363635,0.2819602272727273
299,5.0,linear,7,8,0.7872340425531915,0.13849431818181818,0.3259943181818182
300,5.0,linear,9,2,0.8085106382978723,0.1278409090909091,0.34517045454545453
301,5.0,linear,9,4,0.8262411347517731,0.11931818181818182,0.3330965909090909
302,5.0,linear,9,6,0.8014184397163121,0.14630681818181818,0.31392045454545453
303,5.0,linear,9,8,0.7836879432624113,0.13636363636363635,0.3309659090909091
304,5.0,linear,11,2,0.7907801418439716,0.13210227272727273,0.29332386363636365
305,5.0,linear,11,4,0.8226950354609929,0.11860795454545454,0.35795454545454547
306,5.0,linear,11,6,0.7943262411347518,0.11647727272727272,0.35582386363636365
307,5.0,linear,11,8,0.8156028368794326,0.12002840909090909,0.3700284090909091
308,5.0,linear,13,2,0.8439716312056738,0.10795454545454546,0.38636363636363635
309,5.0,linear,13,4,0.8014184397163121,0.08948863636363637,0.4083806818181818
310,5.0,linear,13,6,0.776595744680851,0.13920454545454544,0.296875
311,5.0,linear,13,8,0.75177304964539,0.12642045454545456,0.3409090909090909
312,5.0,rbf,3,2,0.8156028368794326,0.10724431818181818,0.26917613636363635
313,5.0,rbf,3,4,0.851063829787234,0.10511363636363637,0.2521306818181818
314,5.0,rbf,3,6,0.8085106382978723,0.09588068181818182,0.2784090909090909
315,5.0,rbf,3,8,0.8404255319148937,0.10511363636363637,0.2578125
316,5.0,rbf,5,2,0.8475177304964538,0.11576704545454546,0.2507102272727273
317,5.0,rbf,5,4,0.8120567375886525,0.11008522727272728,0.23011363636363635
318,5.0,rbf,5,6,0.7978723404255319,0.09019886363636363,0.26420454545454547
319,5.0,rbf,5,8,0.8156028368794326,0.09517045454545454,0.29545454545454547
320,5.0,rbf,7,2,0.8049645390070922,0.10653409090909091,0.2521306818181818
321,5.0,rbf,7,4,0.8297872340425532,0.09232954545454546,0.2294034090909091
322,5.0,rbf,7,6,0.8226950354609929,0.10014204545454546,0.24644886363636365
323,5.0,rbf,7,8,0.851063829787234,0.09161931818181818,0.23792613636363635
324,5.0,rbf,9,2,0.8687943262411347,0.08025568181818182,0.29545454545454547
325,5.0,rbf,9,4,0.8617021276595744,0.0859375,0.3224431818181818
326,5.0,rbf,9,6,0.8617021276595744,0.09019886363636363,0.2450284090909091
327,5.0,rbf,9,8,0.8333333333333334,0.08522727272727272,0.28480113636363635
328,5.0,rbf,11,2,0.8936170212765957,0.07244318181818182,0.28125
329,5.0,rbf,11,4,0.8829787234042553,0.078125,0.3117897727272727
